Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
ConvolutionMip3,168,168.000000,0.010363,0.000012,0.000465,0.000062,0.000017,0.010363,0.000012,0.000465,0.000062,0.000017
ConvolutionMip45,166,166.000000,0.010319,0.000012,0.000435,0.000062,0.000016,0.010319,0.000012,0.000435,0.000062,0.000016
ConvolutionMip2,166,166.000000,0.010288,0.000011,0.000190,0.000062,0.000018,0.010288,0.000011,0.000190,0.000062,0.000018
ConvolutionMip6Etc,166,166.000000,0.010271,0.000012,0.000351,0.000062,0.000016,0.010271,0.000012,0.000351,0.000062,0.000016
UpdateGPUScene,1976,1976.000000,0.009664,0.000001,0.000023,0.000005,0.000005,0.009664,0.000001,0.000023,0.000005,0.000005
ConvolutionMip0Face01,166,166.000000,0.009531,0.000010,0.000210,0.000057,0.000014,0.009531,0.000010,0.000210,0.000057,0.000014
ConvolutionMip1,164,164.000000,0.009171,0.000011,0.000188,0.000056,0.000014,0.009171,0.000011,0.000188,0.000056,0.000014
SkyAtmosphere,1324,1324.000000,0.009163,0.000001,0.000015,0.000007,0.000007,0.009163,0.000001,0.000015,0.000007,0.000007
FXAA,1324,1324.000000,0.009006,0.000004,0.000249,0.000007,0.000006,0.009006,0.000004,0.000249,0.000007,0.000006
%s,1324,1324.000000,0.008982,0.000005,0.000017,0.000007,0.000007,0.008982,0.000005,0.000017,0.000007,0.000007
ConvolutionMip0Face45,164,164.000000,0.008780,0.000009,0.000178,0.000054,0.000014,0.008780,0.000009,0.000178,0.000054,0.000014
GPUSceneUpdate,1323,1323.000000,0.007699,0.000003,0.000021,0.000006,0.000005,0.007648,0.000003,0.000021,0.000006,0.000005
ExponentialHeightFog,1324,1324.000000,0.007557,0.000000,0.000021,0.000006,0.000005,0.007557,0.000000,0.000021,0.000006,0.000005
FVirtualShadowMapArray::MergeStaticPhysicalPages,1324,1324.000000,0.006653,0.000002,0.000027,0.000005,0.000004,0.006653,0.000002,0.000027,0.000005,0.000004
BuildRenderingCommands(Culling=%s),1323,1323.000000,0.006521,0.000002,0.000028,0.000005,0.000005,0.006521,0.000002,0.000028,0.000005,0.000005
PostRenderOpsFX,1324,1324.000000,0.006402,0.000004,0.000009,0.000005,0.000005,0.002747,0.000002,0.000005,0.000002,0.000002
CustomDepth,1317,1317.000000,0.006175,0.000000,0.000014,0.000005,0.000006,0.006175,0.000000,0.000014,0.000005,0.000006
Shadow.Virtual.ProcessInvalidations,613,613.000000,0.005775,0.000000,0.000033,0.000009,0.000010,0.005775,0.000000,0.000033,0.000009,0.000010
UpdateDistanceFieldObjectBuffers,200,200.000000,0.005600,0.000023,0.000061,0.000028,0.000027,0.005600,0.000023,0.000061,0.000028,0.000027
DrawDebugCanvas,237,237.000000,0.005198,0.000007,0.000040,0.000022,0.000010,0.000189,0.000000,0.000002,0.000001,0.000001
CanvasFlush,237,237.000000,0.005009,0.000007,0.000040,0.000021,0.000009,0.005009,0.000007,0.000040,0.000021,0.000009
FXSystemPostRenderOpaque,1324,1324.000000,0.003656,0.000002,0.000006,0.000003,0.000003,0.002740,0.000001,0.000005,0.000002,0.000002
InitTranslucencyLightingVolumeTextures,1324,1324.000000,0.003652,0.000000,0.000018,0.000003,0.000003,0.003652,0.000000,0.000018,0.000003,0.000003
UpdateLumenSceneBuffers,1323,1323.000000,0.003060,0.000001,0.000012,0.000002,0.000002,0.003060,0.000001,0.000012,0.000002,0.000002
SendAllEndOfFrameUpdates,1974,1974.000000,0.002570,0.000000,0.000002,0.000001,0.000001,0.002570,0.000000,0.000002,0.000001,0.000001
WorldTick,2632,2632.000000,0.002483,0.000000,0.000005,0.000001,0.000001,0.002483,0.000000,0.000005,0.000001,0.000001
TexturePoolCopyOps,1316,1316.000000,0.001437,0.000000,0.000002,0.000001,0.000001,0.001437,0.000000,0.000002,0.000001,0.000001
Shadow.Virtual.ProcessInvalidationsGPU,1323,1323.000000,0.001369,0.000000,0.000004,0.000001,0.000001,0.001369,0.000000,0.000004,0.000001,0.000001
BufferPoolCopyOps,1316,1316.000000,0.001339,0.000000,0.000007,0.000001,0.000001,0.001339,0.000000,0.000007,0.000001,0.000001
ScaleVariableRateShadingTexture,1317,1317.000000,0.001072,0.000000,0.000004,0.000001,0.000001,0.001072,0.000000,0.000004,0.000001,0.000001
GPUParticles_PostRenderOpaque,1324,1324.000000,0.000916,0.000000,0.000002,0.000001,0.000001,0.000916,0.000000,0.000002,0.000001,0.000001
GPUParticles_PreRender,1323,1323.000000,0.000809,0.000000,0.000003,0.000001,0.000001,0.000809,0.000000,0.000003,0.000001,0.000001
CompositeEditorPrimitives,12,12.000000,0.000726,0.000034,0.000088,0.000061,0.000059,0.000150,0.000002,0.000026,0.000012,0.000014
LightFunctionAtlasGeneration,1323,1323.000000,0.000713,0.000000,0.000002,0.000001,0.000001,0.000713,0.000000,0.000002,0.000001,0.000001
EditorPrimitives,12,12.000000,0.000576,0.000018,0.000084,0.000048,0.000057,0.000576,0.000018,0.000084,0.000048,0.000057
RayTracingGeometry,1323,1323.000000,0.000564,0.000000,0.000001,0.000000,0.000000,0.000564,0.000000,0.000001,0.000000,0.000000
NiagaraProcessInitInstanceCountTasks,55,55.000000,0.000449,0.000005,0.000013,0.000008,0.000008,0.000449,0.000005,0.000013,0.000008,0.000008
NiagaraUpdateDrawIndirectBuffers,55,55.000000,0.000223,0.000000,0.000013,0.000004,0.000004,0.000223,0.000000,0.000013,0.000004,0.000004
InitializeEditorPrimitivesTextures,6,6.000000,0.000148,0.000022,0.000027,0.000025,0.000026,0.000148,0.000022,0.000027,0.000025,0.000026
EditorSelectionOutlines,6,6.000000,0.000119,0.000013,0.000027,0.000020,0.000025,0.000074,0.000009,0.000016,0.000012,0.000014
GPUScene.UploadDynamicPrimitiveShaderDataForView,6,6.000000,0.000052,0.000007,0.000015,0.000009,0.000007,0.000034,0.000004,0.000011,0.000006,0.000005
OutlineDepth,6,6.000000,0.000045,0.000004,0.000010,0.000008,0.000010,0.000045,0.000004,0.000010,0.000008,0.000010
UpdateGPUScene,6,6.000000,0.000018,0.000002,0.000004,0.000003,0.000003,0.000018,0.000002,0.000004,0.000003,0.000003
GroupedQueries,1323,1323.000000,0.000015,0.000000,0.000003,0.000000,0.000000,0.000015,0.000000,0.000003,0.000000,0.000000
ShadowFrustumQueries,1323,1323.000000,0.000009,0.000000,0.000001,0.000000,0.000000,0.000009,0.000000,0.000001,0.000000,0.000000
EditorPrimitives,6,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
EditorPrimitives,6,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
