Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
LumenScreenProbeGather,1322,1322.000000,0.318314,0.000211,0.000485,0.000241,0.000231,0.162523,0.000106,0.000256,0.000123,0.000118
InitNaniteRaster,1322,1322.000000,0.316081,0.000198,0.000436,0.000239,0.000234,0.005885,0.000003,0.000062,0.000004,0.000004
GPUSkinCache_UpdateSkinningBatches,2635,2635.000000,0.313190,0.000000,0.000522,0.000119,0.000148,0.184032,0.000000,0.000450,0.000070,0.000087
Build,1323,1323.000000,0.309412,0.000037,0.001131,0.000234,0.000192,0.309412,0.000037,0.001131,0.000234,0.000192
Nanite::VisBuffer,2644,2644.000000,0.295411,0.000003,0.000400,0.000112,0.000178,0.003410,0.000000,0.000048,0.000001,0.000001
AddPass_Rasterize,6559,6559.000000,0.292595,0.000017,0.000201,0.000045,0.000045,0.206867,0.000017,0.000176,0.000032,0.000030
MainPass,2644,2644.000000,0.284943,0.000087,0.000341,0.000108,0.000105,0.013623,0.000003,0.000151,0.000005,0.000004
RenderDeferredLighting,1322,1322.000000,0.274651,0.000165,0.000380,0.000208,0.000200,0.000397,0.000000,0.000015,0.000000,0.000000
RenderLighting,1322,1322.000000,0.274254,0.000165,0.000379,0.000207,0.000199,0.008684,0.000005,0.000084,0.000007,0.000006
MainPass,2647,2647.000000,0.250600,0.000064,0.000368,0.000095,0.000097,0.138839,0.000037,0.000171,0.000052,0.000048
DiffuseIndirectAndAO,2648,2648.000000,0.245939,0.000038,0.000421,0.000093,0.000073,0.065460,0.000000,0.000296,0.000025,0.000037
RHICmdList_Submit,57604,57604.000000,0.244031,0.000001,0.000150,0.000004,0.000002,0.212544,0.000001,0.000147,0.000004,0.000002
Nanite::VisBuffer,1323,1323.000000,0.239877,0.000167,0.000706,0.000181,0.000178,0.000297,0.000000,0.000002,0.000000,0.000000
RayTracing_FinishGatherInstances,1322,1322.000000,0.239545,0.000030,0.001370,0.000181,0.000165,0.008641,0.000004,0.000075,0.000007,0.000006
BasePass,1323,1323.000000,0.235358,0.000111,0.001306,0.000178,0.000172,0.042185,0.000018,0.000075,0.000032,0.000030
PostProcessing,2646,2646.000000,0.228798,0.000000,0.000381,0.000086,0.000042,0.083432,0.000000,0.000198,0.000032,0.000012
FXSystemPreRender,2646,2646.000000,0.224651,0.000000,0.000429,0.000085,0.000037,0.223842,0.000000,0.000429,0.000085,0.000037
SlateUI Title = %s,1318,1318.000000,0.214621,0.000022,0.000684,0.000163,0.000256,0.209423,0.000022,0.000675,0.000159,0.000247
Tasks::Wait,20564,20564.000000,0.214323,0.000000,0.000438,0.000010,0.000000,0.018839,0.000000,0.000071,0.000001,0.000001
PostPass,2644,2644.000000,0.212747,0.000063,0.000215,0.000080,0.000077,0.008172,0.000002,0.000060,0.000003,0.000003
PostPass,2647,2647.000000,0.206194,0.000057,0.000589,0.000078,0.000068,0.140338,0.000039,0.000569,0.000053,0.000044
CaptureConvolveSkyEnvMap,2646,2646.000000,0.187948,0.000009,0.000859,0.000071,0.000026,0.008308,0.000000,0.000011,0.000003,0.000003
FRDGBuilder::ExecutePasses,3300,3300.000000,0.185945,0.000001,0.000291,0.000056,0.000013,0.026379,0.000001,0.000094,0.000008,0.000003
