Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
FViewport_Draw,2957,2957.000000,1.575235,0.000379,0.001140,0.000533,0.000510,0.172695,0.000040,0.000278,0.000058,0.000055
System Instance Finalize [GT],7522,7522.000000,1.494187,0.000003,0.011510,0.000199,0.000235,0.079125,0.000001,0.000419,0.000011,0.000010
NS_MiningLaser_Green,12190,12190.000000,1.459133,0.000000,0.001642,0.000120,0.000017,0.010096,0.000000,0.000043,0.000001,0.000000
Draw Window And Children Time,2957,2957.000000,1.359655,0.000363,0.001299,0.000460,0.000411,0.023955,0.000002,0.000106,0.000008,0.000007
/Game/GuLiStrike/FX/Mining/NS_MiningLaser_Green.NS_MiningLaser_Green [GT],22109,22109.000000,1.319039,0.000000,0.001641,0.000060,0.000000,0.084056,0.000000,0.000145,0.000004,0.000001
System Simulation Tick [GT],2330,2330.000000,1.317579,0.000033,0.001645,0.000565,0.000522,0.002713,0.000001,0.000020,0.000001,0.000001
Slate::DrawWindow,2957,2957.000000,1.311543,0.000359,0.001224,0.000444,0.000403,0.030634,0.000005,0.000076,0.000010,0.000010
FNiagaraSystemInstanceFinalizeTask,2330,2330.000000,1.300179,0.000000,0.012027,0.000558,0.000486,0.007250,0.000000,0.000058,0.000003,0.000003
Slate_PaintSlowPath,2957,2957.000000,1.280909,0.000353,0.001211,0.000433,0.000387,0.051624,0.000011,0.000217,0.000017,0.000015
System Instance Tick [GT],7522,7522.000000,1.266131,0.000002,0.000685,0.000168,0.000181,0.003449,0.000000,0.000030,0.000000,0.000000
LumenSceneUpdate:,2088,2088.000000,1.260154,0.000003,0.004426,0.000604,0.000048,1.260154,0.000003,0.004426,0.000604,0.000048
LumenReflections,2957,2957.000000,1.230342,0.000180,0.001976,0.000416,0.000307,1.230342,0.000180,0.001976,0.000416,0.000307
CaptureConvolveSkyEnvMap,5914,5914.000000,1.226042,0.000007,0.001933,0.000207,0.000231,0.024290,0.000000,0.000768,0.000004,0.000000
