ThreadId,TimerName,StartTime,EndTime,Duration
2,GuLiCommander_MovePlanning_Route,667.81422,667.81422,0.000000100
2,GuLiCommander_MovePlanning_Route,667.814267,667.814267,0.000000100
2,GuLiCommander_MovePlanning_Route,667.843001,667.843032,0.000031500
2,GuLiCommander_MovePlanning_Route,667.843037,667.843037,0.000000100
2,GuLiCommander_MovePlanning_Route,667.843038,667.843038,0.000000100
2,GuLiCommander_MovePlanning_Route,667.84304,667.84304,0.000000100
2,GuLiCommander_MovePlanning_Route,667.843041,667.843042,0.000000100
2,GuLiCommander_MovePlanning_Route,667.843044,667.843044,0.000000400
2,GuLiCommander_MovePlanning_Route,667.843045,667.843046,0.000000100
2,GuLiCommander_MovePlanning_Route,667.843048,667.843048,0.000000100
2,GuLiCommander_MovePlanning_Route,667.843097,667.843109,0.000011200
2,GuLiCommander_MovePlanning_Route,667.843154,667.843162,0.000008400
2,GuLiCommander_MovePlanning_Route,667.843203,667.843212,0.000009800
2,GuLiCommander_MovePlanning_Route,667.843255,667.843255,0.000000100
2,GuLiCommander_MovePlanning_Route,667.843289,667.843289,0.000000100
2,GuLiCommander_MovePlanning_Route,667.843335,667.843336,0.000000100
2,GuLiCommander_MovePlanning_Route,667.843375,667.843376,0.000000100
2,GuLiCommander_MovePlanning_Route,667.877143,667.8772,0.000057200
2,GuLiCommander_MovePlanning_Route,667.877324,667.877325,0.000000100
2,GuLiCommander_MovePlanning_Route,667.877328,667.877329,0.000000900
2,GuLiCommander_MovePlanning_Route,667.877331,667.877331,0.000000100
2,GuLiCommander_MovePlanning_Route,667.877332,667.877332,0.000000100
2,GuLiCommander_MovePlanning_Route,667.877335,667.877335,0.000000100
2,GuLiCommander_MovePlanning_Route,667.877338,667.877338,0.000000100
2,GuLiCommander_MovePlanning_Route,667.87734,667.87734,0.000000100
2,GuLiCommander_MovePlanning_Route,667.877395,667.877408,0.000013000
2,GuLiCommander_MovePlanning_Route,667.877454,667.877466,0.000011500
2,GuLiCommander_MovePlanning_Route,667.877504,667.877513,0.000009500
2,GuLiCommander_MovePlanning_Route,667.877543,667.877543,0.000000100
2,GuLiCommander_MovePlanning_Route,667.877579,667.877579,0.000000100
2,GuLiCommander_MovePlanning_Route,667.877605,667.877605,0.000000100
2,GuLiCommander_MovePlanning_Route,667.877633,667.877633,0.000000100
2,GuLiCommander_MovePlanning_Route,667.907155,667.907184,0.000029400
2,GuLiCommander_MovePlanning_Route,667.907186,667.907186,0.000000100
2,GuLiCommander_MovePlanning_Route,667.907188,667.907188,0.000000100
2,GuLiCommander_MovePlanning_Route,667.907189,667.90719,0.000000100
2,GuLiCommander_MovePlanning_Route,667.907191,667.907191,0.000000100
