Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
CollectorPivot_L,3564,3564.000000,0.024027,0.000003,0.000152,0.000007,0.000008,0.001908,0.000000,0.000004,0.000001,0.000001
PreUpdateAnimation,7168,7168.000000,0.023701,0.000001,0.000033,0.000003,0.000002,0.023701,0.000001,0.000033,0.000003,0.000002
Calc SkelMesh Bounds,14296,14296.000000,0.022961,0.000000,0.000148,0.000002,0.000001,0.022961,0.000000,0.000148,0.000002,0.000001
PacketHandler Outgoing_Internal,7755,7755.000000,0.022610,0.000001,0.000103,0.000003,0.000003,0.022610,0.000001,0.000103,0.000003,0.000003
Tick_Hotfixables,1792,1792.000000,0.021954,0.000007,0.000038,0.000012,0.000012,0.021954,0.000007,0.000038,0.000012,0.000012
ConvertQueryHit,17872,17872.000000,0.021792,0.000000,0.000213,0.000001,0.000000,0.012628,0.000000,0.000046,0.000001,0.000000
Cockpit_Freight_Spoiler,3564,3564.000000,0.021744,0.000002,0.000267,0.000006,0.000007,0.013027,0.000001,0.000054,0.000004,0.000004
ParallelFor,7178,7178.000000,0.021624,0.000000,0.000107,0.000003,0.000001,0.021624,0.000000,0.000107,0.000003,0.000001
CharacterMesh0,10732,10732.000000,0.021580,0.000000,0.000053,0.000002,0.000002,0.014605,0.000000,0.000052,0.000001,0.000001
FPBDRigidsEvolutionGBF::KinematicTargets,1792,1792.000000,0.021237,0.000005,0.000081,0.000012,0.000011,0.014213,0.000004,0.000076,0.000008,0.000007
TickAsyncLoading GT,1792,1792.000000,0.020909,0.000007,0.000138,0.000012,0.000012,0.019806,0.000006,0.000137,0.000011,0.000010
RepLayout DeltaSerializeFastArray,108,108.000000,0.020637,0.000075,0.000398,0.000191,0.000182,0.020637,0.000075,0.000398,0.000191,0.000182
GuLiCommander_MovePlanning_Route,38,38.000000,0.020438,0.000286,0.000810,0.000538,0.000532,0.014148,0.000211,0.000629,0.000372,0.000367
Tick_PerformanceMonitoring,1792,1792.000000,0.019719,0.000003,0.000086,0.000011,0.000011,0.019719,0.000003,0.000086,0.000011,0.000011
TG_LastDemotable,1792,1792.000000,0.019701,0.000004,0.000069,0.000011,0.000008,0.000946,0.000000,0.000055,0.000001,0.000001
Collisions::EndDetect,1792,1792.000000,0.019630,0.000004,0.000102,0.000011,0.000011,0.005434,0.000001,0.000095,0.000003,0.000003
Volume Streaming Tick,1792,1792.000000,0.019526,0.000005,0.000145,0.000011,0.000010,0.019526,0.000005,0.000145,0.000011,0.000010
Chassis_Transporter_Cockpit_Lvl2,7168,7168.000000,0.019447,0.000001,0.000130,0.000003,0.000003,0.007735,0.000000,0.000048,0.000001,0.000001
Char HandleImpact,3581,3581.000000,0.019304,0.000001,0.000027,0.000005,0.000006,0.019304,0.000001,0.000027,0.000005,0.000006
OnActorBump,3594,3594.000000,0.018883,0.000000,0.000037,0.000005,0.000006,0.005222,0.000000,0.000034,0.000001,0.000001
