Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
PostPass,4738,4738.000000,0.729039,0.000055,0.002531,0.000154,0.000080,0.527381,0.000038,0.002473,0.000111,0.000038
SlateUI Title = %s,2369,2369.000000,0.670469,0.000076,0.002721,0.000283,0.000102,0.640097,0.000068,0.002713,0.000270,0.000095
StochasticLighting,2369,2369.000000,0.610635,0.000066,0.002629,0.000258,0.000066,0.610635,0.000066,0.002629,0.000258,0.000066
Capture,2667,2667.000000,0.592641,0.000000,0.002761,0.000222,0.000028,0.308607,0.000000,0.002761,0.000116,0.000000
VirtualTextureUpdate,2369,2369.000000,0.583706,0.000078,0.003928,0.000246,0.000078,0.583706,0.000078,0.003928,0.000246,0.000078
Bloom,2369,2369.000000,0.577516,0.000061,0.002584,0.000244,0.000061,0.577516,0.000061,0.002584,0.000244,0.000061
Offscreen,2369,2369.000000,0.507453,0.000017,0.002745,0.000214,0.000045,0.507453,0.000017,0.002745,0.000214,0.000045
FVirtualShadowMapArray::BuildPageAllocation,2369,2369.000000,0.453148,0.000067,0.002827,0.000191,0.000094,0.415261,0.000062,0.002822,0.000175,0.000090
Radiosity,2369,2369.000000,0.437547,0.000051,0.002824,0.000185,0.000079,0.437547,0.000051,0.002824,0.000185,0.000079
InstanceCulling,9476,9476.000000,0.431753,0.000004,0.002346,0.000046,0.000004,0.431753,0.000004,0.002346,0.000046,0.000004
MotionBlur,2369,2369.000000,0.394074,0.000049,0.002614,0.000166,0.000049,0.312776,0.000034,0.002594,0.000132,0.000034
RenderVelocities(%s),2369,2369.000000,0.388282,0.000025,0.002641,0.000164,0.000025,0.386697,0.000024,0.002640,0.000163,0.000024
RenderVirtualShadowMaps,2369,2369.000000,0.388046,0.000049,0.002360,0.000164,0.000073,0.001694,0.000000,0.000003,0.000001,0.000001
Batched,2369,2369.000000,0.386353,0.000049,0.002360,0.000163,0.000072,0.040587,0.000006,0.001076,0.000017,0.000006
RayTracingScene,2369,2369.000000,0.379861,0.000065,0.002639,0.000160,0.000091,0.379861,0.000065,0.002639,0.000160,0.000091
TranslucencyLightingVolume,2369,2369.000000,0.372300,0.000033,0.002345,0.000157,0.000056,0.040749,0.000001,0.002206,0.000017,0.000001
BuildCardUpdateContext,2369,2369.000000,0.366475,0.000026,0.002477,0.000155,0.000026,0.366475,0.000026,0.002477,0.000155,0.000026
SkyAtmosphereLUTs,2369,2369.000000,0.351354,0.000052,0.002359,0.000148,0.000052,0.037385,0.000002,0.001852,0.000016,0.000002
CullingPasses,2369,2369.000000,0.345766,0.000042,0.002352,0.000146,0.000042,0.345766,0.000042,0.002352,0.000146,0.000042
BuildHZB,4738,4738.000000,0.336002,0.000019,0.002172,0.000071,0.000019,0.336002,0.000019,0.002172,0.000071,0.000019
Nanite::Streaming,2369,2369.000000,0.329628,0.000064,0.002578,0.000139,0.000090,0.003094,0.000000,0.000734,0.000001,0.000000
NodeAndClusterCull,9476,9476.000000,0.329094,0.000006,0.002223,0.000035,0.000006,0.329094,0.000006,0.002223,0.000035,0.000006
Nanite::Readback,2369,2369.000000,0.326534,0.000063,0.002577,0.000138,0.000088,0.326534,0.000063,0.002577,0.000138,0.000088
RenderCloud,888,888.000000,0.307092,0.000007,0.002766,0.000346,0.000203,0.005100,0.000000,0.000733,0.000006,0.000000
RenderSky,890,890.000000,0.292131,0.000015,0.002395,0.000328,0.000183,0.001482,0.000000,0.000004,0.000002,0.000002
DiffuseIrradiance,296,296.000000,0.290965,0.000063,0.003051,0.000983,0.000817,0.290965,0.000063,0.003051,0.000983,0.000817
UpdateDistanceFieldAtlas,2369,2369.000000,0.287673,0.000037,0.002396,0.000121,0.000037,0.287673,0.000037,0.002396,0.000121,0.000037
VolumetricFog::FinalIntegration,2369,2369.000000,0.285592,0.000029,0.002370,0.000121,0.000052,0.285592,0.000029,0.002370,0.000121,0.000052
Capture,1335,1335.000000,0.284034,0.000000,0.002391,0.000213,0.000024,0.284034,0.000000,0.002391,0.000213,0.000024
TextureDownsampleChain,4738,4738.000000,0.277065,0.000011,0.002120,0.000058,0.000032,0.277065,0.000011,0.002120,0.000058,0.000032
Translucency,2369,2369.000000,0.276373,0.000041,0.002531,0.000117,0.000066,0.004866,0.000001,0.000021,0.000002,0.000002
FilterTranslucentVolume,2369,2369.000000,0.275716,0.000021,0.002228,0.000116,0.000044,0.275716,0.000021,0.002228,0.000116,0.000044
NaniteBasePass,2369,2369.000000,0.274211,0.000047,0.002218,0.000116,0.000047,0.003283,0.000001,0.000003,0.000001,0.000001
RenderTranslucency,2369,2369.000000,0.271507,0.000039,0.002529,0.000115,0.000064,0.176973,0.000018,0.002497,0.000075,0.000018
Nanite::EmitDepthTargets,2369,2369.000000,0.270928,0.000046,0.002216,0.000114,0.000046,0.270928,0.000046,0.002216,0.000114,0.000046
NaniteBasePass,2369,2369.000000,0.268071,0.000025,0.002278,0.000113,0.000048,0.007559,0.000001,0.000623,0.000003,0.000001
Submit,2369,2369.000000,0.265543,0.000035,0.002266,0.000112,0.000035,0.265543,0.000035,0.002266,0.000112,0.000035
LumenSceneUpdate:,4738,4738.000000,0.263829,0.000011,0.002439,0.000056,0.000036,0.263829,0.000011,0.002439,0.000056,0.000036
HZB,2369,2369.000000,0.263552,0.000024,0.002175,0.000111,0.000024,0.002986,0.000000,0.000011,0.000001,0.000001
BuildHZB,2369,2369.000000,0.260566,0.000023,0.002173,0.000110,0.000023,0.016914,0.000001,0.001015,0.000007,0.000001
Nanite::BasePass,2369,2369.000000,0.260512,0.000023,0.002275,0.000110,0.000046,0.050145,0.000007,0.001825,0.000021,0.000007
PostProcessMaterial %dx%d Material=%s,2369,2369.000000,0.241494,0.000027,0.002577,0.000102,0.000027,0.241494,0.000027,0.002577,0.000102,0.000027
VolumetricFog::InitialiseVolume,2369,2369.000000,0.216071,0.000033,0.002278,0.000091,0.000033,0.216071,0.000033,0.002278,0.000091,0.000033
CullTiles,2369,2369.000000,0.214973,0.000020,0.002497,0.000091,0.000020,0.214973,0.000020,0.002497,0.000091,0.000020
Nanite::ShadeBinning,2369,2369.000000,0.210367,0.000014,0.002265,0.000089,0.000037,0.210367,0.000014,0.002265,0.000089,0.000037
SkyAtmosphere::CameraVolumeLut,2369,2369.000000,0.187661,0.000022,0.001989,0.000079,0.000022,0.187661,0.000022,0.001989,0.000079,0.000022
