"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.0014455","48558.4351201","server","35652","0","5538.09375","6276.80078125"
"0.0014455","48558.4351201","client1","3112","0","31.03125","23.3203125"
"1.0549753","48559.4854709","server","35652","0.32628407853294705","5538.34375","6276.80078125"
"1.0549753","48559.4854709","client1","3112","1.7055758650585868","574.46484375","537.828125"
"2.0745745","48560.5050817","server","35652","0.27584368445954055","5538.66796875","6276.80078125"
"2.0745745","48560.5050817","client1","3112","0.5976613163290045","742.08203125","588.39453125"
"3.0960256","48561.5265414","server","35652","0.2447498465663212","5539.046875","6276.80078125"
"3.0960256","48561.5265414","client1","3112","0.7648432705197538","733.71484375","606.08984375"
"4.1140689","48562.5445691","server","35652","0.2302210524837205","5539.296875","6276.80078125"
"4.1140689","48562.5445691","client1","3112","0.9822764905972075","627.09765625","627.9140625"
"5.1327112","48563.5632083","server","35652","0.23008567384252548","5539.609375","6276.80078125"
"5.1327112","48563.5632083","client1","3112","0.951020785215772","891.11328125","771.12109375"
"6.1561289","48564.5866417","server","35652","0.24427953513018194","5539.921875","6276.80078125"
"6.1561289","48564.5866417","client1","3112","0.5496289540429093","1043.109375","997.02734375"
"7.1792074","48565.6097094","server","35652","0.32072318986275244","5540.171875","6276.80078125"
"7.1792074","48565.6097094","client1","3112","0.16799786135667985","1080.50390625","1087.515625"
"8.2048824","48566.6354072","server","35652","0.24374192604869965","5540.453125","6276.80078125"
"8.2048824","48566.6354072","client1","3112","0.015233870378043728","1080.5078125","1087.515625"
"9.2281126","48567.6586381","server","35652","0.22905402909335554","5540.62109375","6276.67578125"
"9.2281126","48567.6586381","client1","3112","2.153107873477542","1185.07421875","1186.7734375"
"10.2562598","48568.6867598","server","35652","0.21276136335341864","5540.93359375","6276.67578125"
"10.2562598","48568.6867598","client1","3112","5.683767849584184","1190.52734375","1192.8125"
"11.2827482","48569.7132559","server","35652","0.25877058133340813","5541.18359375","6276.67578125"
"11.2827482","48569.7132559","client1","3112","0.8524207385100503","1587.04296875","1661.19140625"
"12.3098406","48570.7403468","server","35652","0.31946979648569107","5541.49609375","6276.67578125"
"12.3098406","48570.7403468","client1","3112","0.8367066098434767","1772.19140625","1923.15625"
"13.362167","48571.7926799","server","35652","0.23756887596852078","5541.8125","6276.67578125"
"13.362167","48571.7926799","client1","3112","0.9057313396299854","1850.16796875","2017.1171875"
"14.3878126","48572.8183254","server","35652","0.3199204481548012","5542.0625","6276.67578125"
"14.3878126","48572.8183254","client1","3112","1.8585854607088452","2045.73046875","2156.9765625"
"15.4019858","48573.832509","server","35652","0.2927261339581838","5542.33984375","6276.67578125"
"15.4019858","48573.832509","client1","3112","5.007157554547882","2473.5234375","2576.86328125"
"16.426946","48574.8574523","server","35652","0.3048898874317266","5542.6953125","6276.67578125"
"16.426946","48574.8574523","client1","3112","1.3110265159564245","2571.61328125","2733.00390625"
"17.4476447","48575.8781814","server","35652","0.2602384033603648","5543.0078125","6276.67578125"
"17.4476447","48575.8781814","client1","3112","2.9697794265829867","2800.33203125","2997.8359375"
"18.4713646","48576.9018842","server","35652","0.18315556823697576","5543.76171875","6276.56640625"
"18.4713646","48576.9018842","client1","3112","1.2515630496193344","2916.0078125","3128.65625"
"19.5072211","48577.9377426","server","35652","0.2564303067075411","5544.078125","6276.56640625"
"19.5072211","48577.9377426","client1","3112","0.9653846840754488","2966.41796875","3176.75"
"20.5242054","48578.9547125","server","35652","0.21509673256509465","5544.390625","6276.56640625"
"20.5242054","48578.9547125","client1","3112","7.682026163039095","4267.546875","4585.25"
"21.5389539","48579.9694657","server","35652","0.21557065617736806","5544.67578125","6276.56640625"
"21.5389539","48579.9694657","client1","3112","1.4474029771908998","3030.44921875","3257.83203125"
"22.5580028","48580.9885179","server","35652","0.39865604094170554","5545.203125","6276.56640625"
"22.5580028","48580.9885179","client1","3112","2.131276526572964","3453.68359375","3720.9765625"
"23.5833058","48582.0138152","server","35652","0.4114637331598561","5545.61328125","6276.56640625"
"23.5833058","48582.0138152","client1","3112","1.7372913177860592","4293.1015625","4918.265625"
"24.6080828","48583.0385886","server","35652","0.3659332713361053","5545.92578125","6276.56640625"
"24.6080828","48583.0385886","client1","3112","1.174035912203338","4521.3203125","5324.28515625"
"25.6336329","48584.0641928","server","35652","0.2894787880182548","5547.2265625","6276.56640625"
"25.6336329","48584.0641928","client1","3112","2.8643164288122054","4799.515625","7631.16015625"
"26.6890522","48585.1195874","server","35652","0.2516772243979241","5547.82421875","6276.56640625"
"26.6890522","48585.1195874","client1","3112","6.203103354278247","5274.75","9546.98046875"
"27.7142548","48586.1447647","server","35652","0.32005868888744526","5548.203125","6276.56640625"
"27.7142548","48586.1447647","client1","3112","5.456238601033591","5072.55078125","9365.90234375"
"28.7339674","48587.1644769","server","35652","0.19919828390862288","5549.4609375","6276.56640625"
"28.7339674","48587.1644769","client1","3112","5.087217712127907","4857.80859375","9245.9140625"
"29.7615393","48588.1920762","server","35652","0.4257609613497605","5550.1953125","6276.56640625"
