"Seconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.0012739","server","34688","0","5470.75","6258.07421875"
"0.0012739","client1","27936","0","35.328125","23.5390625"
"0.0012739","client2","32200","0","41.859375","26.75"
"1.0497836","server","34688","0.19372734463019273","5470.875","6258.07421875"
"1.0497836","client1","27936","1.4156998261437161","572.19140625","568.03515625"
"1.0497836","client2","32200","1.5647208604746334","576.00390625","570.58203125"
"2.075994","server","34688","0.15225922481393678","5471.0078125","6258.07421875"
"2.075994","client1","27936","0.7460702015882902","671.15625","679.640625"
"2.075994","client2","32200","0.7156183566255029","674.03515625","682.57421875"
"3.0983469","server","34688","0.2292505846073308","5471.19921875","6258.07421875"
"3.0983469","client1","27936","0","671.15625","679.640625"
"3.0983469","client2","32200","0.015283372307155386","674.04296875","682.57421875"
"4.1329746","server","34688","0.2114287100567673","5471.32421875","6258.07421875"
"4.1329746","client1","27936","0","671.18359375","679.65625"
"4.1329746","client2","32200","0","674.21875","682.57421875"
"5.1632601","server","34688","0.12132559373105804","5471.44921875","6258.07421875"
"5.1632601","client1","27936","0.015165699216382255","671.1953125","679.65625"
"5.1632601","client2","32200","7.294701323079865","848.55859375","856.72265625"
"6.186405","server","34688","0.22907312541947872","5471.57421875","6258.07421875"
"6.186405","client1","27936","0.03054308338926383","690.0078125","689.31640625"
"6.186405","client2","32200","1.3438956691276085","996.39453125","957.42578125"
"7.2133229","server","34688","0.1673697576018492","5471.69921875","6258.07421875"
"7.2133229","client1","27936","6.5426359789813775","865.9296875","883.7421875"
"7.2133229","client2","32200","0.6086173003703607","1012.12109375","988.05859375"
"8.2420875","server","34688","0.16706931789838025","5471.82421875","6258.07421875"
"8.2420875","client1","27936","1.2909901837602111","1075.37890625","1020.92578125"
"8.2420875","client2","32200","1.0935446262439434","1144.3671875","1079.0625"
"9.2589468","server","34688","0.12292752792839678","5472.03125","6258.07421875"
"9.2589468","client1","27936","0.9987861644182239","1119.9453125","1061.7578125"
"9.2589468","client2","32200","1.3214709252302654","1320.06640625","1274.078125"
"10.2881827","server","34688","0.19735514472435328","5472.15625","6258.07421875"
"10.2881827","client1","27936","1.2600366932401017","1313.8125","1289.58203125"
"10.2881827","client2","32200","0.5465219392366706","1346.9140625","1299.1875"
"11.316292","server","34688","0.12158240373859085","5472.28125","6258.07421875"
"11.316292","client1","27936","2.5988238799123793","1484.9921875","1469.48046875"
"11.316292","client2","32200","2.4316480747718168","1629.37109375","1598.4296875"
"12.361753","server","34688","0.1644011589145841","5473.234375","6258.07421875"
"12.361753","client1","27936","0.8369513544742463","1686.28125","1693.0546875"
"12.361753","client2","32200","0.612767955954359","1697.65234375","1670.6171875"
"13.3922736","server","34688","0.1971091116470646","5473.4140625","6258.07421875"
"13.3922736","client1","27936","0.9703833188778564","1752","1760.53125"
"13.3922736","client2","32200","1.0007077975927896","1756.00390625","1735.93359375"
"14.4340317","server","34688","0.16498551823115173","5473.4765625","6258.07421875"
"14.4340317","client1","27936","1.019910476338029","1787.45703125","1798.98828125"
"14.4340317","client2","32200","1.019910476338029","1777.97265625","1755.765625"
"15.4662453","server","34688","0.15137370792246876","5473.54296875","6257.96484375"
"15.4662453","client1","27936","1.4985997084324407","1873.2421875","1865.40234375"
"15.4662453","client2","32200","1.4077754836789595","1877.6171875","1837.5234375"
"16.484655","server","34688","0.1227403863101461","5473.66796875","6257.96484375"
"16.484655","client1","27936","0.997265638769937","1945.62109375","1939.83984375"
"16.484655","client2","32200","1.1353485733688513","1946.15234375","1910.33203125"
"17.5076426","server","34688","0.18328667913472266","5473.890625","6257.96484375"
"17.5076426","client1","27936","0.992802845313081","2151.16796875","2156.26171875"
"17.5076426","client2","32200","0.9622550654572939","2154.3125","2126.75390625"
"18.5363959","server","34688","0.24301258620506977","5474.953125","6257.96484375"
"18.5363959","client1","27936","1.108744924560631","2323.453125","2337.36328125"
"18.5363959","client2","32200","1.1391214978362645","2323.140625","2308.60546875"
"19.566864","server","34688","0.2122821657458392","5470.23046875","6252.33984375"
"19.566864","client1","27936","1.3495080536699777","2468.33203125","2469.1796875"
"19.566864","client2","32200","1.3646710655089662","2473.22265625","2451.8984375"
"20.5837776","server","34688","0.27657216896302694","5470.35546875","6252.33984375"
"20.5837776","client1","27936","0.6914304224075674","2475.3515625","2469.1796875"
"20.5837776","client2","32200","0.6607001814116754","2480.3125","2451.8984375"
"21.6115183","server","34688","0.30406502340522273","5470.66796875","6252.33984375"
"21.6115183","client1","27936","0.8057723120238403","2476.5234375","2469.1796875"
"21.6115183","client2","32200","0.7753658096833179","2481.546875","2451.8984375"
"22.6379182","server","34688","0.1979004479638005","5473.9453125","6252.33984375"
"22.6379182","client1","27936","0.791601791855202","2476.875","2469.1796875"
"22.6379182","client2","32200","0.7307093463278787","2481.9140625","2451.8984375"
"23.6667807","server","34688","0.349293515897411","5475.32421875","6252.33984375"
"23.6667807","client1","27936","0.820080428628704","2477.22265625","2469.1796875"
"23.6667807","client2","32200","0.820080428628704","2483.43359375","2451.8984375"
"24.6970066","server","34688","0.3336646846094628","5477.578125","6252.33984375"
"24.6970066","client1","27936","0.9554943241089163","2477.75","2469.1796875"
"24.6970066","client2","32200","0.9706609006820737","2484.03125","2451.8984375"
"25.7270847","server","34688","0.33371256024179136","5478.42578125","6252.33984375"
"25.7270847","client1","27936","1.061812691678427","2478.51171875","2469.1796875"
"25.7270847","client2","32200","1.001137680725374","2484.41796875","2451.8984375"
"26.7498131","server","34688","0.4583328281487049","5478.9921875","6252.33984375"
