event,local_seconds,local_frame,soldier_id,command_id,order_id,render_server_seconds,sample_server_seconds,sample_frame,displacement_disabled,net_mode,has_prediction,resolving,has_speed,signed_presented_cm_s,signed_authoritative_cm_s,authoritative_x,authoritative_y,authoritative_z,presented_x,presented_y,presented_z,offset_x,offset_y,offset_z,requested_offset_x,requested_offset_y,requested_offset_z,sample_x,sample_y,sample_z,sample_velocity_x,sample_velocity_y,sample_velocity_z,direction_x,direction_y,direction_z,target_x,target_y,target_z
start,366.533490,21357,313,0,0,0.000000,0.000000,0,0,3,0,0,0,0.000,0.000,-7900.000,-196200.000,-6660.000,-7900.000,-196200.000,-6660.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,366.550157,21357,313,0,0,823.841828,0.000000,0,0,3,0,0,0,0.000,0.000,-7900.000,-196200.000,-6660.000,-7900.000,-196200.000,-6660.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,366.583172,21358,313,0,0,823.874841,0.000000,0,0,3,0,0,0,0.000,0.000,-7900.000,-196200.000,-6660.000,-7900.000,-196200.000,-6660.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,366.599839,21359,313,0,0,823.891595,0.000000,0,0,3,0,0,0,0.000,0.000,-7900.000,-196200.000,-6660.000,-7900.000,-196200.000,-6660.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,366.616506,21360,313,0,0,823.908327,0.000000,0,0,3,0,0,0,0.000,0.000,-7900.000,-196200.000,-6660.000,-7900.000,-196200.000,-6660.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sample_arrival,366.633172,21361,313,0,0,823.908327,824.100037,8241,0,3,0,0,0,0.000,0.000,-7900.000,-196200.000,-6660.000,-7900.000,-196200.000,-6660.000,0.000,0.000,0.000,0.000,0.000,0.000,-7900.000,-196200.000,-6660.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,366.633172,21361,313,0,0,823.928610,0.000000,0,0,3,0,0,0,0.000,0.000,-7900.000,-196200.002,-6660.000,-7900.000,-196200.002,-6660.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,366.649839,21362,313,0,0,823.945313,0.000000,0,0,3,0,0,0,0.000,0.000,-7900.000,-196199.997,-6660.000,-7900.000,-196199.997,-6660.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,366.666506,21363,313,0,0,823.962008,0.000000,0,0,3,0,0,0,0.000,0.000,-7900.000,-196200.000,-6660.000,-7900.000,-196200.000,-6660.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,366.683173,21364,313,0,0,823.978695,0.000000,0,0,3,0,0,0,0.000,0.000,-7900.000,-196200.006,-6660.000,-7900.000,-196200.006,-6660.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
