Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
PostPass,3692,3692.000000,0.606658,0.000055,0.002496,0.000164,0.000080,0.420382,0.000038,0.002478,0.000114,0.000038
Capture,2085,2085.000000,0.470635,0.000000,0.003038,0.000226,0.000000,0.230307,0.000000,0.002692,0.000110,0.000000
VirtualTextureUpdate,1845,1845.000000,0.449756,0.000075,0.002449,0.000244,0.000075,0.449756,0.000075,0.002449,0.000244,0.000075
StochasticLighting,1846,1846.000000,0.426899,0.000066,0.002125,0.000231,0.000066,0.426899,0.000066,0.002125,0.000231,0.000066
SlateUI Title = %s,1845,1845.000000,0.382948,0.000069,0.002275,0.000208,0.000069,0.355632,0.000061,0.002129,0.000193,0.000061
Bloom,1845,1845.000000,0.366571,0.000061,0.002119,0.000199,0.000061,0.366571,0.000061,0.002119,0.000199,0.000061
FVirtualShadowMapArray::BuildPageAllocation,1846,1846.000000,0.365066,0.000072,0.002337,0.000198,0.000095,0.331637,0.000067,0.002331,0.000180,0.000089
Offscreen,1846,1846.000000,0.350484,0.000017,0.002111,0.000190,0.000039,0.350484,0.000017,0.002111,0.000190,0.000039
Radiosity,1846,1846.000000,0.346191,0.000055,0.002331,0.000188,0.000078,0.346191,0.000055,0.002331,0.000188,0.000078
MotionBlur,1846,1846.000000,0.325316,0.000049,0.002210,0.000176,0.000049,0.249254,0.000034,0.002192,0.000135,0.000034
InstanceCulling,7384,7384.000000,0.319741,0.000004,0.002043,0.000043,0.000004,0.319741,0.000004,0.002043,0.000043,0.000004
RenderVirtualShadowMaps,1846,1846.000000,0.319558,0.000050,0.002144,0.000173,0.000071,0.001330,0.000000,0.000004,0.000001,0.000001
Batched,1846,1846.000000,0.318227,0.000050,0.002143,0.000172,0.000071,0.032381,0.000005,0.001326,0.000018,0.000005
RayTracingScene,1846,1846.000000,0.307981,0.000065,0.002095,0.000167,0.000085,0.307981,0.000065,0.002095,0.000167,0.000085
TranslucencyLightingVolume,1846,1846.000000,0.306920,0.000032,0.002221,0.000166,0.000054,0.028376,0.000001,0.001749,0.000015,0.000001
SkyAtmosphereLUTs,1846,1846.000000,0.287337,0.000052,0.002563,0.000156,0.000052,0.024537,0.000002,0.001960,0.000013,0.000002
CullingPasses,1846,1846.000000,0.285847,0.000042,0.002134,0.000155,0.000063,0.285847,0.000042,0.002134,0.000155,0.000063
VolumetricFog::FinalIntegration,1846,1846.000000,0.251735,0.000029,0.002115,0.000136,0.000050,0.251735,0.000029,0.002115,0.000136,0.000050
Nanite::Streaming,1845,1845.000000,0.250152,0.000064,0.002162,0.000136,0.000085,0.001826,0.000000,0.000006,0.000001,0.000001
RenderSky,696,696.000000,0.248981,0.000015,0.003041,0.000358,0.000198,0.002530,0.000000,0.001386,0.000004,0.000000
Nanite::Readback,1845,1845.000000,0.248326,0.000063,0.002161,0.000135,0.000084,0.248326,0.000063,0.002161,0.000135,0.000084
BuildCardUpdateContext,1846,1846.000000,0.243768,0.000026,0.002253,0.000132,0.000048,0.243768,0.000026,0.002253,0.000132,0.000048
Capture,1044,1044.000000,0.240328,0.000000,0.003034,0.000230,0.000031,0.240328,0.000000,0.003034,0.000230,0.000031
DiffuseIrradiance,232,232.000000,0.238055,0.000322,0.002938,0.001026,0.000824,0.238055,0.000322,0.002938,0.001026,0.000824
BuildHZB,3692,3692.000000,0.235803,0.000019,0.002047,0.000064,0.000019,0.235803,0.000019,0.002047,0.000064,0.000019
NodeAndClusterCull,7384,7384.000000,0.232414,0.000007,0.002041,0.000031,0.000007,0.232414,0.000007,0.002041,0.000031,0.000007
RenderCloud,694,694.000000,0.228417,0.000007,0.002697,0.000329,0.000197,0.004233,0.000000,0.000985,0.000006,0.000000
TextureDownsampleChain,3690,3690.000000,0.227828,0.000011,0.002584,0.000062,0.000037,0.227828,0.000011,0.002584,0.000062,0.000037
RenderVelocities(%s),1846,1846.000000,0.226987,0.000024,0.002103,0.000123,0.000024,0.225771,0.000024,0.002103,0.000122,0.000024
FilterTranslucentVolume,1846,1846.000000,0.226347,0.000020,0.002206,0.000123,0.000043,0.226347,0.000020,0.002206,0.000123,0.000043
NaniteBasePass,1846,1846.000000,0.223649,0.000025,0.002086,0.000121,0.000046,0.005404,0.000001,0.000638,0.000003,0.000001
Nanite::BasePass,1846,1846.000000,0.218246,0.000023,0.002083,0.000118,0.000044,0.038010,0.000007,0.001119,0.000021,0.000007
