event,local_seconds,local_frame,soldier_id,command_id,order_id,render_server_seconds,sample_server_seconds,sample_frame,displacement_disabled,net_mode,has_prediction,resolving,has_speed,signed_presented_cm_s,signed_authoritative_cm_s,authoritative_x,authoritative_y,authoritative_z,presented_x,presented_y,presented_z,offset_x,offset_y,offset_z,requested_offset_x,requested_offset_y,requested_offset_z,sample_x,sample_y,sample_z,sample_velocity_x,sample_velocity_y,sample_velocity_z,direction_x,direction_y,direction_z,target_x,target_y,target_z
start,407.769691,159494,477,0,0,0.000000,0.000000,0,0,3,0,0,0,0.000,0.000,-69671.477,2971.477,-1738.041,-69671.477,2971.477,-1738.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,407.831764,159494,477,0,0,400.251246,0.000000,0,0,3,0,0,0,0.000,0.000,-69705.619,3005.619,-1738.000,-69705.619,3005.619,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,407.859964,159495,477,0,0,400.282267,0.000000,0,0,3,0,0,0,0.000,0.000,-69721.131,3021.131,-1738.000,-69721.131,3021.131,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,407.895429,159496,477,0,0,400.321277,0.000000,0,0,3,0,0,0,0.000,0.000,-69740.639,3040.639,-1738.000,-69740.639,3040.639,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,407.918617,159497,477,0,0,400.342147,0.000000,0,0,3,0,0,0,0.000,0.000,-69751.075,3051.075,-1738.000,-69751.075,3051.075,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,407.946753,159498,477,0,0,400.367469,0.000000,0,0,3,0,0,0,0.000,0.000,-69763.737,3063.737,-1738.000,-69763.737,3063.737,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,407.975334,159499,477,0,0,400.393192,0.000000,0,0,3,0,0,0,0.000,0.000,-69776.599,3076.599,-1738.000,-69776.599,3076.599,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sample_arrival,408.010737,159500,477,0,581,400.393192,400.600006,4001,0,3,0,0,0,0.000,0.000,-69776.599,3076.599,-1738.000,-69776.599,3076.599,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,-69880.000,3180.000,-1738.000,-500.000,500.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.010737,159500,477,0,0,400.425055,0.000000,0,0,3,0,0,0,0.000,0.000,-69792.532,3092.530,-1738.000,-69792.532,3092.530,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
frame,408.039510,159501,477,0,0,400.450950,0.000000,0,0,3,0,0,0,0.000,0.000,-69805.477,3105.477,-1738.000,-69805.477,3105.477,-1738.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
