monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16803813.791446399,40.343216497,127.0.0.1:18082,1082542,48151,28
16803813.810339000,40.362109099,127.0.0.1:18082,1084457,48272,28
16803813.826932300,40.378702398,127.0.0.1:18082,1084457,48272,28
16803813.844926499,40.396696597,127.0.0.1:18082,1084495,48310,28
16803813.860959899,40.412729997,127.0.0.1:18082,1086303,48348,28
16803813.878890600,40.430660699,127.0.0.1:18082,1086374,48386,28
16803813.895272799,40.447042897,127.0.0.1:18082,1093984,48424,28
16803813.913740698,40.465510797,127.0.0.1:18082,1094022,48545,28
16803813.930842899,40.482612997,127.0.0.1:18082,1095992,48583,28
16803813.949214399,40.500984497,127.0.0.1:18082,1097275,48621,28
16803813.965893202,40.517663300,127.0.0.1:18082,1098041,48659,28
16803813.982983202,40.534753300,127.0.0.1:18082,1099533,48697,28
16803814.000802800,40.552572899,127.0.0.1:18082,1102490,48735,28
16803814.018707100,40.570477199,127.0.0.1:18082,1103708,48856,28
16803814.035470601,40.587240700,127.0.0.1:18082,1104775,48894,28
16803814.053500000,40.605270099,127.0.0.1:18082,1106753,48932,28
16803814.070630599,40.622400697,127.0.0.1:18082,1106753,48932,28
16803814.090275399,40.642045498,127.0.0.1:18082,1111147,48970,28
16803814.106673900,40.658443999,127.0.0.1:18082,1111185,49008,28
16803814.124285098,40.676055197,127.0.0.1:18082,1116786,49129,28
16803814.139695901,40.691466000,127.0.0.1:18082,1116848,49167,28
16803814.158290301,40.710060399,127.0.0.1:18082,1119014,49205,28
16803814.176276300,40.728046399,127.0.0.1:18082,1119014,49205,28
16803814.193203300,40.744973399,127.0.0.1:18082,1123305,49243,28
16803814.210880801,40.762650900,127.0.0.1:18082,1123367,49364,28
16803814.228369400,40.780139498,127.0.0.1:18082,1125785,49402,28
16803814.247799799,40.799569897,127.0.0.1:18082,1125785,49402,28
16803814.263352301,40.815122399,127.0.0.1:18082,1127947,49440,28
16803814.281527899,40.833297998,127.0.0.1:18082,1128033,49478,28
16803814.298595499,40.850365598,127.0.0.1:18082,1132419,49516,28
16803814.316285498,40.868055597,127.0.0.1:18082,1135918,49637,28
16803814.334265102,40.886035200,127.0.0.1:18082,1138276,49675,28
16803814.350603100,40.902373198,127.0.0.1:18082,1138338,49713,28
16803814.367904700,40.919674799,127.0.0.1:18082,1140590,49751,28
