Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
PostPass,3606,3606.000000,0.561848,0.000054,0.005129,0.000156,0.000054,0.404232,0.000038,0.005111,0.000112,0.000038
StochasticLighting,1803,1803.000000,0.482731,0.000065,0.002792,0.000268,0.000065,0.482731,0.000065,0.002792,0.000268,0.000065
VirtualTextureUpdate,1803,1803.000000,0.458502,0.000077,0.002671,0.000254,0.000077,0.458502,0.000077,0.002671,0.000254,0.000077
Capture,2019,2019.000000,0.438387,0.000000,0.002783,0.000217,0.000028,0.225507,0.000000,0.002783,0.000112,0.000000
SlateUI Title = %s,1803,1803.000000,0.377293,0.000065,0.002442,0.000209,0.000065,0.346319,0.000058,0.002432,0.000192,0.000058
Radiosity,1803,1803.000000,0.376640,0.000051,0.002491,0.000209,0.000076,0.376640,0.000051,0.002491,0.000209,0.000076
Offscreen,1803,1803.000000,0.364980,0.000017,0.002522,0.000202,0.000043,0.364980,0.000017,0.002522,0.000202,0.000043
Bloom,1803,1803.000000,0.358520,0.000061,0.002429,0.000199,0.000061,0.358520,0.000061,0.002429,0.000199,0.000061
FVirtualShadowMapArray::BuildPageAllocation,1803,1803.000000,0.343362,0.000072,0.002677,0.000190,0.000098,0.308598,0.000067,0.002673,0.000171,0.000093
TranslucencyLightingVolume,1803,1803.000000,0.329937,0.000032,0.002562,0.000183,0.000057,0.028374,0.000001,0.002492,0.000016,0.000001
MotionBlur,1803,1803.000000,0.326164,0.000049,0.002424,0.000181,0.000049,0.260377,0.000034,0.002404,0.000144,0.000034
RenderVirtualShadowMaps,1803,1803.000000,0.317167,0.000050,0.002241,0.000176,0.000072,0.001274,0.000000,0.000005,0.000001,0.000001
Batched,1803,1803.000000,0.315893,0.000049,0.002240,0.000175,0.000071,0.029605,0.000006,0.001986,0.000016,0.000006
RenderVelocities(%s),1803,1803.000000,0.310789,0.000025,0.002451,0.000172,0.000025,0.309590,0.000024,0.002450,0.000172,0.000024
InstanceCulling,7212,7212.000000,0.309842,0.000004,0.002891,0.000043,0.000004,0.309842,0.000004,0.002891,0.000043,0.000004
RayTracingScene,1803,1803.000000,0.288285,0.000065,0.002621,0.000160,0.000091,0.288285,0.000065,0.002621,0.000160,0.000091
CullingPasses,1803,1803.000000,0.286288,0.000042,0.002232,0.000159,0.000064,0.286288,0.000042,0.002232,0.000159,0.000064
SkyAtmosphereLUTs,1803,1803.000000,0.274575,0.000052,0.002506,0.000152,0.000052,0.034134,0.000002,0.002440,0.000019,0.000002
BuildCardUpdateContext,1803,1803.000000,0.273442,0.000026,0.002115,0.000152,0.000047,0.273442,0.000026,0.002115,0.000152,0.000047
BuildHZB,3606,3606.000000,0.271265,0.000019,0.002404,0.000075,0.000019,0.271265,0.000019,0.002404,0.000075,0.000019
VolumetricFog::FinalIntegration,1803,1803.000000,0.258011,0.000028,0.002303,0.000143,0.000051,0.258011,0.000028,0.002303,0.000143,0.000051
NodeAndClusterCull,7212,7212.000000,0.257018,0.000007,0.002451,0.000036,0.000007,0.257018,0.000007,0.002451,0.000036,0.000007
Nanite::Streaming,1804,1804.000000,0.247456,0.000064,0.002602,0.000137,0.000089,0.001794,0.000000,0.000005,0.000001,0.000001
Nanite::Readback,1804,1804.000000,0.245662,0.000063,0.002600,0.000136,0.000089,0.245662,0.000063,0.002600,0.000136,0.000089
FilterTranslucentVolume,1803,1803.000000,0.245617,0.000020,0.002496,0.000136,0.000045,0.245617,0.000020,0.002496,0.000136,0.000045
DiffuseIrradiance,226,226.000000,0.233640,0.000165,0.003445,0.001034,0.000827,0.233640,0.000165,0.003445,0.001034,0.000827
RenderCloud,672,672.000000,0.225028,0.000007,0.002788,0.000335,0.000176,0.002518,0.000000,0.000625,0.000004,0.000000
Submit,1803,1803.000000,0.220284,0.000035,0.002545,0.000122,0.000035,0.220284,0.000035,0.002545,0.000122,0.000035
RenderSky,674,674.000000,0.217007,0.000015,0.002775,0.000322,0.000182,0.001129,0.000000,0.000005,0.000002,0.000002
TextureDownsampleChain,3606,3606.000000,0.212941,0.000011,0.002400,0.000059,0.000035,0.212941,0.000011,0.002400,0.000059,0.000035
Capture,1011,1011.000000,0.212880,0.000000,0.002768,0.000211,0.000028,0.212880,0.000000,0.002768,0.000211,0.000028
NaniteBasePass,1803,1803.000000,0.208322,0.000026,0.002312,0.000116,0.000049,0.007122,0.000001,0.000943,0.000004,0.000001
LumenSceneUpdate:,3606,3606.000000,0.206374,0.000011,0.002622,0.000057,0.000038,0.206374,0.000011,0.002622,0.000057,0.000038
HZB,1803,1803.000000,0.203593,0.000024,0.002407,0.000113,0.000024,0.002232,0.000001,0.000003,0.000001,0.000001
BuildHZB,1803,1803.000000,0.201361,0.000023,0.002405,0.000112,0.000023,0.010565,0.000001,0.001490,0.000006,0.000001
Nanite::BasePass,1803,1803.000000,0.201200,0.000023,0.002309,0.000112,0.000046,0.039610,0.000007,0.001856,0.000022,0.000007
Translucency,1803,1803.000000,0.191460,0.000030,0.002411,0.000106,0.000054,0.003658,0.000001,0.000005,0.000002,0.000002
PostProcessMaterial %dx%d Material=%s,1803,1803.000000,0.189778,0.000027,0.002344,0.000105,0.000027,0.189778,0.000027,0.002344,0.000105,0.000027
RenderTranslucency,1803,1803.000000,0.187802,0.000029,0.002409,0.000104,0.000053,0.116129,0.000015,0.002297,0.000064,0.000015
UpdateDistanceFieldAtlas,1804,1804.000000,0.184465,0.000039,0.002239,0.000102,0.000039,0.184465,0.000039,0.002239,0.000102,0.000039
