t,dt,render_rate,display_speed,history_target_speed,display_error,render_ahead_latest,receipt_age
2054.251628,0.03611899999987145,1.0290428860211367,0.0,0.0,0.0,-0.1276789999999437,0.0
2054.279918,0.028290000000197324,1.0366914103798444,0.0706963588942222,0.0706963588942222,0.0,-0.09835100000009334,0.028290000000197324
2054.305852,0.02593399999977919,1.0299992288237874,0.0771188398684555,0.0771188398684555,0.0,-0.07163900000000467,0.05422399999997651
2054.328117,0.022265000000061264,1.0262744217381243,0.0,0.0,0.0,-0.04878899999994246,0.07648900000003778
2054.362008,0.03389100000003964,1.0129237850698751,0.0,0.0,0.0,-0.014460000000099171,0.11038000000007742
2054.386127,0.02411900000015521,0.9489613997188515,0.0,0.0,0.0,0.008427999999867097,0.13449900000023263
2054.410102,0.02397499999960928,0.9615432742646011,0.0,0.0,0.0,0.031480999999985215,0.1584739999998419
2054.441979,0.03187700000034965,0.978291558167593,0.0,0.0,0.0,0.06266600000003564,0.19035100000019156
2054.476245,0.03426599999966129,0.8999883266304596,0.0,0.0,0.0,-0.10644699999988916,0.0
2054.500804,0.024558999999953812,0.8999959281752961,0.0,0.0,0.0,-0.08434399999987363,0.024558999999953812
2054.524809,0.02400500000021566,0.9000208289820669,0.0,0.0,0.0,-0.06273899999996502,0.04856400000016947
2054.546656,0.021846999999979744,0.8999862681349345,0.0,0.0,0.0,-0.043077000000039334,0.07041100000014922
2054.576281,0.02962500000012369,0.9000168776367043,0.0,0.0,0.0,-0.11651099999994585,0.0
2054.603343,0.027062000000114494,0.8999704382496148,0.07390436749401502,0.07390436749401502,0.0,-0.09215599999993174,0.027062000000114494
2054.630396,0.027052999999796157,0.9000480538281422,0.11089343130136423,0.11089343130136423,0.0,-0.06780699999990247,0.05411499999991065
2054.6581,0.027704000000085216,0.8999783424719302,0.036095870770958334,0.036095870770958334,0.0,-0.042873999999983425,0.08181899999999587
2054.691601,0.033500999999887426,0.9000029849865333,0.0,0.0,0.0,-0.11269900000002053,0.0
2054.719963,0.02836200000001554,0.9000070516928701,0.03525844453286643,0.03525844453286643,0.0,-0.08717299999989336,0.02836200000001554
2054.744283,0.024319999999988795,0.9,0.041118421210615395,0.041118421210615395,0.0,-0.06528499999990345,0.052682000000004336
2054.768081,0.02379800000016985,1.099966383720256,0.0,0.0,0.0,-0.03910799999994197,0.07648000000017419
2054.799635,0.03155399999968722,1.0999873233303163,0.0,0.0,0.0,-0.20434999999997672,0.0
2054.827407,0.02777200000036828,1.1000288059751988,129.75113877005094,129.75113877005094,0.0,-0.17380000000002838,0.02777200000036828
2054.852321,0.024913999999625958,1.1000240828586159,420.7992107880518,420.7992107880518,0.0,-0.14639400000010028,0.05268599999999424
