t,dt,render_rate,display_speed,history_target_speed,display_error,render_ahead_latest,receipt_age
845.876374,0.33333300000003874,1.0042210042209196,0.0,0.0,0.0,,
846.209708,0.3333339999999225,1.0281699436606195,0.0,0.0,0.0,,
846.543041,0.33333300000003874,1.0211320211318708,0.0,0.0,0.0,0.12480800000003,0.0
846.876375,0.3333340000000362,0.9680950638095969,0.0,0.0,0.0,0.44750699999997323,0.3333340000000362
847.209708,0.33333299999992505,0.9760749760753489,0.0,0.0,0.0,0.7728650000000243,0.6666669999999613
847.543068,0.33335999999997057,1.0070434365250294,0.0,0.0,0.0,1.1085729999999785,1.0000269999999318
847.876401,0.33333300000003874,1.0052830052829678,0.0,0.0,0.0,0.1436790000000201,0.0
848.209735,0.3333340000000362,1.0244709510580439,0.0,0.0,0.0,0.4851700000000392,0.3333340000000362
848.543069,0.3333339999999225,1.0183539632921226,0.0,0.0,0.0,0.8246219999999767,0.6666679999999587
848.876539,0.3334700000000339,0.9652862326446464,0.0,0.0,0.0,1.1465160000000196,1.0001379999999926
849.210272,0.333733000000052,0.973985191755025,0.0,0.0,0.0,0.1715790000000652,0.0
849.543606,0.3333339999999225,1.0051719896562652,0.0,0.0,0.0,0.5066370000000688,0.3333339999999225
849.876939,0.33333300000003874,1.003882003881752,0.0,0.0,0.0,0.8412640000000238,0.6666669999999613
850.210273,0.3333340000000362,1.028505942988104,0.0,0.0,0.0,1.1841000000000577,1.0000009999999975
850.543606,0.33333299999992505,1.0213780213782806,0.0,0.0,0.0,0.12453500000003714,0.0
850.87694,0.3333340000000362,0.9660160679677219,0.0,0.0,0.0,0.4465410000000247,0.3333340000000362
851.210273,0.33333300000003874,0.974511974511868,0.0,0.0,0.0,0.771378000000027,0.666667000000075
851.543826,0.33355299999993804,1.0056842540765283,0.0,0.0,0.0,1.106826999999953,1.000220000000013
851.87716,0.3333340000000362,1.00426599146816,0.0,0.0,0.0,0.1415950000000521,0.0
852.210493,0.33333300000003874,1.0282090282087446,0.0,0.0,0.0,0.4843309999999974,0.33333300000003874
852.543827,0.3333339999999225,1.0211529576942298,0.0,0.0,0.0,0.8247159999999667,0.6666669999999613
852.87716,0.33333300000003874,0.9661179661179077,0.0,0.0,0.0,1.1467549999999846,1.0
853.2109,0.33374000000003434,0.9746149697369734,0.0,0.0,0.0,0.1720350000000508,0.0
853.544234,0.3333339999999225,1.0056429887141012,0.0,0.0,0.0,0.5072499999999991,0.3333339999999225
853.877567,0.33333300000003874,1.0042330042328893,0.0,0.0,0.0,0.8419939999999997,0.6666669999999613
854.210901,0.3333340000000362,1.0292169415660168,0.0,0.0,0.0,1.1850670000000036,1.0000009999999975
854.544234,0.33333299999992505,1.0219180219182822,0.0,0.0,0.0,0.12568199999998342,0.0
854.877568,0.3333340000000362,0.9664150671697392,0.0,0.0,0.0,0.44782099999997627,0.3333340000000362
855.210901,0.33333300000003874,0.9748149748147854,0.0,0.0,0.0,0.7727589999999509,0.666667000000075
855.544235,0.3333339999999225,1.0046229907542847,0.0,0.0,0.0,1.1076339999999618,1.0000009999999975
855.877887,0.33365200000002915,1.0034676848933457,0.0,0.0,0.0,0.14245500000004085,0.0
856.211221,0.3333340000000362,1.028328943341868,0.0,0.0,0.0,0.48523199999999633,0.3333340000000362
856.544832,0.333611000000019,1.0212313143150722,0.0,0.0,0.0,0.8259259999999813,0.6669450000000552
856.878165,0.33333299999992505,0.9657099657102436,0.0,0.0,0.0,1.1478290000000015,1.0002779999999802
857.211499,0.3333340000000362,0.9742780514436992,2159.99617871151,2664.373022764576,168.12595093560296,0.17260099999998602,0.0
857.544832,0.33333300000003874,1.0051060051060734,504.37835718510746,0.0,0.0,0.5076360000000477,0.33333300000003874
857.878166,0.3333339999999225,1.0038249923502498,0.0,0.0,0.0,0.8422450000000481,0.6666669999999613
858.211499,0.33333300000003874,1.0278790278788954,0.0,0.0,0.0,1.1848710000000438,1.0
858.544833,0.3333340000000362,1.020909958179812,2159.997057611454,2936.2141465754135,258.7395471337948,0.12515099999995982,0.0
858.878166,0.33333299999992505,0.9654849654851293,776.2194176209766,0.0,0.0,0.44697899999994206,0.33333299999992505
859.211499,0.33333300000003874,0.9741159741158443,0.0,0.0,0.0,0.7716839999999365,0.6666659999999638
859.544833,0.3333340000000362,1.005591988816228,0.0,0.0,0.0,1.1068820000000414,1.0
859.878524,0.3336909999999307,1.004189504661483,2159.9993012694654,2797.141520647655,212.60862432648335,0.14198299999998198,0.0
860.211858,0.3333340000000362,1.0280949438101168,637.8245973301861,0.0,0.0,0.4846820000000207,0.3333340000000362
860.545213,0.3333549999999832,1.0210706304090282,0.0,0.0,0.0,0.8250610000000052,0.6666890000000194
860.878589,0.33337600000004386,0.9657383854865462,0.0,0.0,0.0,1.1470150000000103,1.0000650000000633
861.211922,0.33333299999992505,0.9743049743050407,2160.0033761722616,2800.1520818875265,213.3826885222911,0.1717949999999746,0.0
861.545256,0.3333340000000362,1.0062129875740267,640.1467852732331,0.0,0.0,0.5072000000000116,0.3333340000000362
861.878589,0.33333300000003874,1.0046620046618298,0.0,0.0,0.0,0.8420869999999923,0.666667000000075
862.211923,0.3333339999999225,1.0285059429884547,0.0,0.0,0.0,1.1849230000000261,1.0000009999999975
862.545256,0.33333300000003874,1.0213780213779322,2160.00265870651,3054.70434942988,298.2335986739277,0.12535800000000563,0.0
862.878908,0.33365200000002915,0.9656648244276506,893.846278979001,0.0,0.0,0.44755399999996825,0.33365200000002915
863.212242,0.3333339999999225,0.9742180515641826,0.0,0.0,0.0,0.772293999999988,0.6669859999999517
863.545575,0.33333300000003874,1.0056790056789915,0.0,0.0,0.0,1.1075200000000223,1.0003189999999904
863.878909,0.3333340000000362,1.0042539914918491,2159.9968961743725,2800.143681447148,213.3826885222911,0.14228400000001784,0.0
864.212242,0.33333299999992505,1.028380028380346,640.1487057157229,0.0,0.0,0.4850770000000466,0.33333299999992505
864.545575,0.33333300000003874,1.021285021284826,0.0,0.0,0.0,0.825505000000021,0.6666659999999638
864.878909,0.3333340000000362,0.9659440681115623,0.0,0.0,0.0,1.1474869999999555,1.0
865.212242,0.33333299999992505,0.9744579744583367,2160.0026587072466,2800.1456536450114,213.380784931542,0.1723180000000184,0.0
865.545748,0.3335060000000567,1.005430187162974,639.8109327313623,0.0,0.0,0.5076350000000502,0.3335060000000567
865.879082,0.3333340000000362,1.0040739918519619,0.0,0.0,0.0,0.8423270000000684,0.6668400000000929
866.212415,0.33333299999992505,1.0282300282300423,0.0,0.0,0.0,1.185069999999996,1.000173000000018
866.545748,0.33333300000003874,1.021174021174106,2160.002581477266,3054.7102419865987,298.2355886006977,0.12543700000003355,0.0
866.879082,0.3333340000000362,0.9658600682797741,894.7049763920431,0.0,0.0,0.44739100000003873,0.3333340000000362
867.212461,0.3333789999999226,0.9743985074046656,0.0,0.0,0.0,0.7722350000000233,0.6667129999999588
867.545794,0.33333300000003874,1.0058950058947873,0.0,0.0,0.0,1.1075329999999894,1.0000459999999975
867.879127,0.33333300000003874,1.0044190044187609,2160.00265870651,2800.1456536440564,213.380784931542,0.14235099999996237,0.0
