Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Char SmoothClientPosition_Visual,1967,1967.000000,0.016999,0.000002,0.000070,0.000009,0.000005,0.004357,0.000000,0.000067,0.000002,0.000002
GPUSceneUpdate,1616,1616.000000,0.016917,0.000004,0.001159,0.000010,0.000004,0.016917,0.000004,0.001159,0.000010,0.000004
UpdateCoreCsvStats_EndFrame,1616,1616.000000,0.016648,0.000005,0.000495,0.000010,0.000010,0.016648,0.000005,0.000495,0.000010,0.000010
UpdateCollectorR,1103,1103.000000,0.015150,0.000008,0.000186,0.000014,0.000012,0.004407,0.000002,0.000029,0.000004,0.000004
Process Single Particle Proxies,4848,4848.000000,0.015097,0.000000,0.000265,0.000003,0.000000,0.009994,0.000000,0.000215,0.000002,0.000002
Asset Registry Tick,1616,1616.000000,0.014369,0.000004,0.000030,0.000009,0.000009,0.012724,0.000004,0.000029,0.000008,0.000008
PerspectiveCamera,4848,4848.000000,0.014228,0.000000,0.000073,0.000003,0.000001,0.004933,0.000000,0.000062,0.000001,0.000001
StartFinalPostprocessSettings,1616,1616.000000,0.013976,0.000004,0.000048,0.000009,0.000008,0.008456,0.000003,0.000045,0.000005,0.000005
UStaticMesh::GetUsedMaterials,9416,9416.000000,0.013874,0.000000,0.000032,0.000001,0.000001,0.013874,0.000000,0.000032,0.000001,0.000001
Render_BeginFrame,1616,1616.000000,0.013837,0.000005,0.000097,0.000009,0.000008,0.009862,0.000003,0.000094,0.000006,0.000006
Char AdjustFloorHeight,4940,4940.000000,0.013675,0.000000,0.000090,0.000003,0.000000,0.000800,0.000000,0.000027,0.000000,0.000000
STAT_FPendingCleanupObjects_Destruct,1542,1542.000000,0.013364,0.000003,0.000195,0.000009,0.000009,0.013364,0.000003,0.000195,0.000009,0.000009
STAT_ResetTickGroup,11312,11312.000000,0.013085,0.000000,0.000028,0.000001,0.000001,0.013085,0.000000,0.000028,0.000001,0.000001
FCoreDelegates::OnBeginFrame,1616,1616.000000,0.012927,0.000005,0.000232,0.000008,0.000007,0.011427,0.000004,0.000231,0.000007,0.000006
STAT_UInstancedStaticMeshComponent_BuildRenderData,3146,3146.000000,0.012904,0.000002,0.000046,0.000004,0.000004,0.009269,0.000001,0.000036,0.000003,0.000003
Slate::AddLineElements,1616,1616.000000,0.012847,0.000003,0.000073,0.000008,0.000007,0.012847,0.000003,0.000073,0.000008,0.000007
Activate,2206,2206.000000,0.012754,0.000001,0.000157,0.000006,0.000003,0.001800,0.000000,0.000018,0.000001,0.000000
UpdateLumenSceneBuffers,1616,1616.000000,0.012634,0.000001,0.001080,0.000008,0.000001,0.012634,0.000001,0.001080,0.000008,0.000001
FRenderCommandFence::BeginFence,3232,3232.000000,0.012491,0.000000,0.000052,0.000004,0.000002,0.012491,0.000000,0.000052,0.000004,0.000002
ConvertQueryHit,4996,4996.000000,0.012227,0.000000,0.000177,0.000002,0.000002,0.007118,0.000000,0.000053,0.000001,0.000001
PollGameDeviceState,1616,1616.000000,0.012213,0.000005,0.000053,0.000008,0.000007,0.012213,0.000005,0.000053,0.000008,0.000007
Lights,1617,1617.000000,0.012019,0.000001,0.001530,0.000007,0.000001,0.012019,0.000001,0.001530,0.000007,0.000001
CreateExternalAccelerationStructure,1616,1616.000000,0.011842,0.000000,0.000157,0.000007,0.000002,0.011842,0.000000,0.000157,0.000007,0.000002
UChaosDebugDrawSubsystem::StaticOnWorldTickEnd,1616,1616.000000,0.011663,0.000003,0.000032,0.000007,0.000007,0.011663,0.000003,0.000032,0.000007,0.000007
UpdateStreamingState Time,1616,1616.000000,0.011619,0.000004,0.000042,0.000007,0.000007,0.009103,0.000003,0.000040,0.000006,0.000005
STAT_NiagaraPostActorTick_GT,1616,1616.000000,0.011608,0.000000,0.007769,0.000007,0.000000,0.002797,0.000000,0.000026,0.000002,0.000001
Update Unmapped Objects Time,1616,1616.000000,0.011314,0.000004,0.000051,0.000007,0.000007,0.011293,0.000004,0.000051,0.000007,0.000007
OnRep_SnapshotRevision,30,30.000000,0.011302,0.000239,0.000492,0.000377,0.000376,0.000018,0.000000,0.000001,0.000001,0.000001
DoEntityCompaction,1616,1616.000000,0.011106,0.000004,0.000054,0.000007,0.000007,0.011106,0.000004,0.000054,0.000007,0.000007
FImgMediaSceneViewExtension::BeginRenderViewFamily,1616,1616.000000,0.011080,0.000003,0.000154,0.000007,0.000006,0.011080,0.000003,0.000154,0.000007,0.000006
Activate (GT),2206,2206.000000,0.010954,0.000001,0.000154,0.000005,0.000002,0.010649,0.000001,0.000145,0.000005,0.000002
FinishedInputThisFrame,1616,1616.000000,0.010701,0.000004,0.000128,0.000007,0.000007,0.010701,0.000004,0.000128,0.000007,0.000007
FMassExecutorDoneTask,1616,1616.000000,0.010687,0.000003,0.000025,0.000007,0.000007,0.000576,0.000000,0.000002,0.000000,0.000000
STAT_FOnlineSubsystemNull_Tick,1616,1616.000000,0.010535,0.000004,0.000160,0.000007,0.000005,0.008247,0.000003,0.000159,0.000005,0.000005
FWaitingQueue_SignalStandbyThread,2268,2268.000000,0.010510,0.000001,0.000047,0.000005,0.000004,0.010510,0.000001,0.000047,0.000005,0.000004
Char Physics Interation,6464,6464.000000,0.010421,0.000000,0.000159,0.000002,0.000000,0.010421,0.000000,0.000159,0.000002,0.000000
WBP_CommanderHUD [WBP_CommanderHUD_C_0],1616,1616.000000,0.010403,0.000004,0.000041,0.000006,0.000006,0.002453,0.000001,0.000021,0.000002,0.000001
CameraProxyMeshComponent,3232,3232.000000,0.010319,0.000001,0.000105,0.000003,0.000003,0.007833,0.000000,0.000103,0.000002,0.000002
PSC Manager Tick [GT],11312,11312.000000,0.010256,0.000000,0.000127,0.000001,0.000000,0.010256,0.000000,0.000127,0.000001,0.000000
GuLiResourceFactoryActor,6464,6464.000000,0.010238,0.000000,0.000190,0.000002,0.000000,0.009441,0.000000,0.000044,0.000001,0.000001
FAsyncTask::SyncCompletion,3692,3692.000000,0.010136,0.000000,0.000055,0.000003,0.000001,0.009260,0.000000,0.000054,0.000003,0.000001
