run,role,mean_ms,p95_ms,p99_ms,moving_p05,load_pass,frame_budget_pass
retest-1-n1200-c1,client1,9.466554338908173,10.7674,11.2121,1200.0,True,True
retest-1-n1200-c2,client1,16.31953443960827,18.4497,19.3235,1199.0,True,True
retest-1-n1200-c2,client2,16.61587540166205,18.9448,19.906,1200.0,True,True
retest-2-n1200-c1,client1,9.557802484867793,10.936,11.7408,1199.0,True,True
retest-2-n1200-c2,client1,16.140852286175363,18.347,19.1852,1199.0,True,True
retest-2-n1200-c2,client2,16.426419934282585,18.7338,19.6326,1199.0,True,True
retest-3-n1200-c1,client1,9.553129331210192,10.8967,11.4751,1198.0,True,True
retest-3-n1200-c2,client1,16.509665217391305,18.75,19.666,1199.0,True,True
retest-3-n1200-c2,client2,16.217211945945945,18.3087,19.1398,1200.0,True,True
