Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Nanite::VisBuffer,1648,1648.000000,0.140696,0.000029,0.001969,0.000085,0.000029,0.001369,0.000000,0.000002,0.000001,0.000001
Nanite::InitContext,1648,1648.000000,0.139327,0.000028,0.001968,0.000085,0.000028,0.139327,0.000028,0.001968,0.000085,0.000028
UpdateDistanceFieldAtlas,1648,1648.000000,0.133029,0.000029,0.001623,0.000081,0.000045,0.133029,0.000029,0.001623,0.000081,0.000045
HZB,1648,1648.000000,0.132669,0.000024,0.001583,0.000081,0.000024,0.002092,0.000001,0.000003,0.000001,0.000001
BuildHZB,1648,1648.000000,0.130576,0.000023,0.001582,0.000079,0.000023,0.010808,0.000001,0.001292,0.000007,0.000001
BuildRenderingCommandsDeferred(Culling=%s),3297,3297.000000,0.130084,0.000012,0.001710,0.000039,0.000012,0.130084,0.000012,0.001710,0.000039,0.000012
BuildPreviousOccluderHZB,1649,1649.000000,0.112105,0.000010,0.001596,0.000068,0.000026,0.112105,0.000010,0.001596,0.000068,0.000026
ConvolutionMip0Face45,206,206.000000,0.106162,0.000010,0.001982,0.000515,0.000239,0.106162,0.000010,0.001982,0.000515,0.000239
ConvolutionMip0Face01,206,206.000000,0.105227,0.000010,0.003024,0.000511,0.000238,0.105227,0.000010,0.003024,0.000511,0.000238
ExponentialHeightFog,1649,1649.000000,0.104844,0.000020,0.001710,0.000064,0.000020,0.104844,0.000020,0.001710,0.000064,0.000020
ConvolutionMip6Etc,206,206.000000,0.101609,0.000013,0.001954,0.000493,0.000248,0.101609,0.000013,0.001954,0.000493,0.000248
ConvolutionMip0Face23,206,206.000000,0.100382,0.000010,0.002043,0.000487,0.000226,0.100382,0.000010,0.002043,0.000487,0.000226
VolumetricFog::ConservativeDepth,1649,1649.000000,0.099529,0.000004,0.001744,0.000060,0.000004,0.099529,0.000004,0.001744,0.000060,0.000004
ConvolutionMip45,206,206.000000,0.099140,0.000014,0.001861,0.000481,0.000228,0.099140,0.000014,0.001861,0.000481,0.000228
SkinCacheDispatch,19788,19788.000000,0.096254,0.000000,0.001584,0.000005,0.000000,0.096254,0.000000,0.001584,0.000005,0.000000
BuildPreviousOccluderHZB,1648,1648.000000,0.095766,0.000020,0.001675,0.000058,0.000020,0.016865,0.000001,0.001557,0.000010,0.000001
ConvolutionMip2,206,206.000000,0.093606,0.000016,0.002023,0.000454,0.000198,0.093606,0.000016,0.002023,0.000454,0.000198
ConvolutionMip3,206,206.000000,0.092762,0.000015,0.001804,0.000450,0.000250,0.092762,0.000015,0.001804,0.000450,0.000250
TemporalSuperResolution,1649,1649.000000,0.092725,0.000013,0.001633,0.000056,0.000013,0.092725,0.000013,0.001633,0.000056,0.000013
SkyAtmosphere,1649,1649.000000,0.092284,0.000021,0.001835,0.000056,0.000021,0.092284,0.000021,0.001835,0.000056,0.000021
LocalExposure,1649,1649.000000,0.092160,0.000014,0.001683,0.000056,0.000014,0.092160,0.000014,0.001683,0.000056,0.000014
GenCubeMips,206,206.000000,0.091481,0.000020,0.001974,0.000444,0.000198,0.091481,0.000020,0.001974,0.000444,0.000198
MotionBlur FullResFilter(BlurDirections=%d MaxSamples=%d%s%s%s%s) %dx%d,1649,1649.000000,0.087508,0.000014,0.001747,0.000053,0.000014,0.087508,0.000014,0.001747,0.000053,0.000014
ConvolutionMip1,206,206.000000,0.079644,0.000011,0.001854,0.000387,0.000197,0.079644,0.000011,0.001854,0.000387,0.000197
ComputeLightGrid,1648,1648.000000,0.070320,0.000015,0.001603,0.000043,0.000015,0.010898,0.000001,0.001155,0.000007,0.000001
PatchSplit,6594,6594.000000,0.070094,0.000003,0.001402,0.000011,0.000003,0.070094,0.000003,0.001402,0.000011,0.000003
LocalExposure,1649,1649.000000,0.063070,0.000010,0.001784,0.000038,0.000010,0.063070,0.000010,0.001784,0.000038,0.000010
Histogram,1649,1649.000000,0.060449,0.000013,0.001515,0.000037,0.000013,0.060449,0.000013,0.001515,0.000037,0.000013
CullLights,1648,1648.000000,0.059422,0.000013,0.001600,0.000036,0.000013,0.059422,0.000013,0.001600,0.000036,0.000013
UpdateAllPrimitiveSceneInfos,1624,1624.000000,0.056441,0.000006,0.001696,0.000035,0.000023,0.016294,0.000000,0.001278,0.000010,0.000000
InjectTranslucencyLightingVolume,1649,1649.000000,0.042791,0.000003,0.001562,0.000026,0.000019,0.042791,0.000003,0.001562,0.000026,0.000019
SkyAtmosphere::SkyViewLut,1648,1648.000000,0.041094,0.000009,0.001520,0.000025,0.000009,0.041094,0.000009,0.001520,0.000025,0.000009
GPUSceneUpdate,1623,1623.000000,0.039900,0.000005,0.001689,0.000025,0.000005,0.002158,0.000000,0.000004,0.000001,0.000001
SkyAtmosphere::DistantSkyLightLut,1648,1648.000000,0.039082,0.000008,0.001576,0.000024,0.000008,0.039082,0.000008,0.001576,0.000024,0.000008
GPUScene.Update,1623,1623.000000,0.037743,0.000004,0.001688,0.000023,0.000004,0.025848,0.000001,0.001547,0.000016,0.000001
SkyAtmosphere::RealTimeCaptureSkyViewLut,1648,1648.000000,0.037144,0.000007,0.001578,0.000023,0.000007,0.037144,0.000007,0.001578,0.000023,0.000007
InitializePhysicalPages,1649,1649.000000,0.027423,0.000003,0.001657,0.000017,0.000003,0.027423,0.000003,0.001657,0.000017,0.000003
SceneCulling_ComputeExplicitChunkBounds,1609,1609.000000,0.023377,0.000006,0.001561,0.000015,0.000006,0.023377,0.000006,0.001561,0.000015,0.000006
UpdateDistanceFieldObjectBuffers,411,411.000000,0.022021,0.000025,0.001468,0.000054,0.000025,0.022021,0.000025,0.001468,0.000054,0.000025
FVirtualShadowMapArray::MergeStaticPhysicalPages,1649,1649.000000,0.021624,0.000003,0.001538,0.000013,0.000003,0.021624,0.000003,0.001538,0.000013,0.000003
Lights,1648,1648.000000,0.020191,0.000001,0.001543,0.000012,0.000001,0.020191,0.000001,0.001543,0.000012,0.000001
UpdateLumenSceneBuffers,1649,1649.000000,0.017993,0.000001,0.001443,0.000011,0.000001,0.017993,0.000001,0.001443,0.000011,0.000001
DrawDebugCanvas,1649,1649.000000,0.017893,0.000006,0.001179,0.000011,0.000006,0.001400,0.000000,0.000081,0.000001,0.000000
CanvasFlush,1649,1649.000000,0.016493,0.000006,0.001178,0.000010,0.000006,0.016493,0.000006,0.001178,0.000010,0.000006
GPUSceneUpdate,1648,1648.000000,0.013028,0.000004,0.001530,0.000008,0.000004,0.013028,0.000004,0.001530,0.000008,0.000004
UpdateGPUScene,1623,1623.000000,0.011894,0.000002,0.001676,0.000007,0.000002,0.011894,0.000002,0.001676,0.000007,0.000002
